Date,flow,temp,salt,aed_oxygen_oxy,aed_nitrogen_nit,aed_phosphorus_frp
1971-09-01,3.3715008,8,0.31222,400.40625,129.0322581,0.005536842
1971-09-02,3.3715008,8,0.31222,400.40625,129.2712593,0.005536842
1971-09-03,3.3715008,8,0.31222,400.40625,129.5102605,0.005536842
1971-09-04,3.3715008,8,0.31222,400.40625,129.7492617,0.005536842
1971-09-05,3.3715008,8,0.31222,400.40625,129.9882629,0.005536842
1971-09-06,3.3715008,8,0.31222,400.40625,130.2272641,0.005536842
1971-09-07,3.3715008,8,0.31222,400.40625,130.4662653,0.005536842
1971-09-08,3.3715008,8,0.31222,400.40625,130.7052665,0.005536842
1971-09-09,3.3715008,8,0.31222,400.40625,130.9442678,0.005536842
1971-09-10,3.3715008,8,0.31222,400.40625,131.183269,0.005536842
1971-09-11,3.3715008,8,0.31222,400.40625,131.4222702,0.005536842
1971-09-12,3.3715008,8,0.31222,400.40625,131.6612714,0.005536842
1971-09-13,3.3715008,8,0.31222,400.40625,131.9002726,0.005536842
1971-09-14,3.3715008,8,0.31222,400.40625,132.1392738,0.005536842
1971-09-15,3.3715008,8,0.31222,400.40625,132.378275,0.005536842
1971-09-16,3.3715008,8,0.31222,400.40625,132.6172762,0.005536842
1971-09-17,3.3715008,8,0.31222,400.40625,132.8562775,0.005536842
1971-09-18,3.3715008,8,0.31222,400.40625,133.0952787,0.005536842
1971-09-19,3.3715008,8,0.31222,400.40625,133.3342799,0.005536842
1971-09-20,3.3715008,8,0.31222,400.40625,133.5732811,0.005536842
1971-09-21,3.3715008,8,0.31222,400.40625,133.8122823,0.005536842
1971-09-22,3.3715008,8,0.31222,400.40625,134.0512835,0.005536842
1971-09-23,3.3715008,8,0.31222,400.40625,134.2902847,0.005536842
1971-09-24,3.3715008,8,0.31222,400.40625,134.5292859,0.005536842
1971-09-25,3.3715008,8,0.31222,400.40625,134.7682871,0.005536842
1971-09-26,3.3715008,8,0.31222,400.40625,135.0072884,0.005536842
1971-09-27,3.3715008,8,0.31222,400.40625,135.2462896,0.005536842
1971-09-28,3.3715008,8,0.31222,400.40625,135.4852908,0.005536842
1971-09-29,3.3715008,8,0.31222,400.40625,135.724292,0.005536842
1971-09-30,3.3715008,8,0.31222,400.40625,135.9632932,0.005536842
1971-10-01,3.3715008,8,0.31222,400.40625,136.2022944,0.005536842
1971-10-02,3.3715008,8,0.31222,400.40625,136.4412956,0.005536842
1971-10-03,3.3715008,8,0.31222,400.40625,136.6802968,0.005536842
1971-10-04,3.3715008,8,0.31222,400.40625,136.919298,0.005536842
1971-10-05,3.3715008,8,0.31222,400.40625,137.1582993,0.005536842
1971-10-06,3.3715008,8,0.31222,400.40625,137.3973005,0.005536842
1971-10-07,3.3715008,8,0.31222,400.40625,137.6363017,0.005536842
1971-10-08,3.3715008,8,0.31222,400.40625,137.8753029,0.005536842
1971-10-09,3.3715008,8,0.31222,400.40625,138.1143041,0.005536842
1971-10-10,3.3715008,8,0.31222,400.40625,138.3533053,0.005536842
1971-10-11,3.3715008,8,0.31222,400.40625,138.5923065,0.005536842
1971-10-12,3.3715008,8,0.31222,400.40625,138.8313077,0.005536842
1971-10-13,3.3715008,8,0.31222,400.40625,139.070309,0.005536842
1971-10-14,3.3715008,8,0.31222,400.40625,139.3093102,0.005536842
1971-10-15,3.3715008,8,0.31222,400.40625,139.5483114,0.005536842
1971-10-16,3.3715008,8,0.31222,400.40625,139.7873126,0.005536842
1971-10-17,3.3715008,8,0.31222,400.40625,140.0263138,0.005536842
1971-10-18,3.3715008,8,0.31222,400.40625,140.265315,0.005536842
1971-10-19,3.3715008,8,0.31222,400.40625,140.5043162,0.005536842
1971-10-20,3.3715008,8,0.31222,400.40625,140.7433174,0.005536842
1971-10-21,3.3715008,8,0.31222,400.40625,140.9823186,0.005536842
1971-10-22,3.3715008,8,0.31222,400.40625,141.2213199,0.005536842
1971-10-23,3.3715008,8,0.31222,400.40625,141.4603211,0.005536842
1971-10-24,3.3715008,8,0.31222,400.40625,141.6993223,0.005536842
1971-10-25,3.3715008,8,0.31222,400.40625,141.9383235,0.005536842
1971-10-26,3.3715008,8,0.31222,400.40625,142.1773247,0.005536842
1971-10-27,3.3715008,8,0.31222,400.40625,142.4163259,0.005536842
1971-10-28,3.3715008,8,0.31222,400.40625,142.6553271,0.005536842
1971-10-29,3.3715008,8,0.31222,400.40625,142.8943283,0.005536842
1971-10-30,3.3715008,8,0.31222,400.40625,143.1333295,0.005536842
1971-10-31,3.3715008,8,0.31222,400.40625,143.3723308,0.005536842
1971-11-01,3.3715008,8,0.31222,400.40625,143.611332,0.005536842
1971-11-02,3.3715008,8,0.31222,400.40625,143.8503332,0.005536842
1971-11-03,3.3715008,8,0.31222,400.40625,144.0893344,0.005536842
1971-11-04,3.3715008,8,0.31222,400.40625,144.3283356,0.005536842
1971-11-05,3.3715008,8,0.31222,400.40625,144.5673368,0.005536842
1971-11-06,3.3715008,8,0.31222,400.40625,144.806338,0.005536842
1971-11-07,3.3715008,8,0.31222,400.40625,145.0453392,0.005536842
1971-11-08,3.3715008,8,0.31222,400.40625,145.2843405,0.005536842
1971-11-09,3.3715008,8,0.31222,400.40625,145.5233417,0.005536842
1971-11-10,3.3715008,8,0.31222,400.40625,145.7623429,0.005536842
1971-11-11,3.3715008,8,0.31222,400.40625,146.0013441,0.005536842
1971-11-12,3.3715008,8,0.31222,400.40625,146.2403453,0.005536842
1971-11-13,3.3715008,8,0.31222,400.40625,146.4793465,0.005536842
1971-11-14,3.3715008,8,0.31222,400.40625,146.7183477,0.005536842
1971-11-15,3.3715008,8,0.31222,400.40625,146.9573489,0.005536842
1971-11-16,3.3715008,8,0.31222,400.40625,147.1963501,0.005536842
1971-11-17,3.3715008,8,0.31222,400.40625,147.4353514,0.005536842
1971-11-18,3.3715008,8,0.31222,400.40625,147.6743526,0.005536842
1971-11-19,3.3715008,8,0.31222,400.40625,147.9133538,0.005536842
1971-11-20,3.3715008,8,0.31222,400.40625,148.152355,0.005536842
1971-11-21,3.3715008,8,0.31222,400.40625,148.3913562,0.005536842
1971-11-22,3.3715008,8,0.31222,400.40625,148.6303574,0.005536842
1971-11-23,3.3715008,8,0.31222,400.40625,148.8693586,0.005536842
1971-11-24,3.3715008,8,0.31222,400.40625,149.1083598,0.005536842
1971-11-25,3.3715008,8,0.31222,400.40625,149.347361,0.005536842
1971-11-26,3.3715008,8,0.31222,400.40625,149.5863623,0.005536842
1971-11-27,3.3715008,8,0.31222,400.40625,149.8253635,0.005536842
1971-11-28,3.3715008,8,0.31222,400.40625,150.0643647,0.005536842
1971-11-29,3.3715008,8,0.31222,400.40625,150.3033659,0.005536842
1971-11-30,3.3715008,8,0.31222,400.40625,150.5423671,0.005536842
1971-12-01,3.3715008,8,0.31222,400.40625,150.7813683,0.005536842
1971-12-02,3.3715008,8,0.31222,400.40625,151.0203695,0.005536842
1971-12-03,3.3715008,8,0.31222,400.40625,151.2593707,0.005536842
1971-12-04,3.3715008,8,0.31222,400.40625,151.498372,0.005536842
1971-12-05,3.3715008,8,0.31222,400.40625,151.7373732,0.005536842
1971-12-06,3.3715008,8,0.31222,400.40625,151.9763744,0.005536842
1971-12-07,3.3715008,8,0.31222,400.40625,152.2153756,0.005536842
1971-12-08,3.3715008,8,0.31222,400.40625,152.4543768,0.005536842
1971-12-09,3.3715008,8,0.31222,400.40625,152.693378,0.005536842
1971-12-10,3.3715008,8,0.31222,400.40625,152.9323792,0.005536842
1971-12-11,3.3715008,8,0.31222,400.40625,153.1713804,0.005536842
1971-12-12,3.3715008,8,0.31222,400.40625,153.4103816,0.005536842
1971-12-13,3.3715008,8,0.31222,400.40625,153.6493829,0.005536842
1971-12-14,3.3715008,8,0.31222,400.40625,153.8883841,0.005536842
1971-12-15,3.3715008,8,0.31222,400.40625,154.1273853,0.005536842
1971-12-16,3.3715008,8,0.31222,400.40625,154.3663865,0.005536842
1971-12-17,3.3715008,8,0.31222,400.40625,154.6053877,0.005536842
1971-12-18,3.3715008,8,0.31222,400.40625,154.8443889,0.005536842
1971-12-19,3.3715008,8,0.31222,400.40625,155.0833901,0.005536842
